q2,     ge,     ge-err, gm,     gm-err 
0.2178, 0.5724, 0.0010, 1.6432, 0.0030 
0.2179, 0.5719, 0.0011, 1.6418, 0.0031 
0.2210, 0.5707, 0.0012, 1.6390, 0.0034 
0.2219, 0.5661, 0.0014, 1.6261, 0.0039 
0.2220, 0.5661, 0.0014, 1.6259, 0.0041 
0.2222, 0.5668, 0.0011, 1.6280, 0.0030 
0.2258, 0.5616, 0.0011, 1.6138, 0.0030 
0.2264, 0.5621, 0.0012, 1.6155, 0.0034 
0.2264, 0.5595, 0.0011, 1.6080, 0.0030 
0.2264, 0.5626, 0.0011, 1.6170, 0.0031 
0.2301, 0.5569, 0.0012, 1.6012, 0.0035 
0.2307, 0.5575, 0.0011, 1.6030, 0.0031 
0.2313, 0.5541, 0.0014, 1.5933, 0.0041 
0.2313, 0.5548, 0.0015, 1.5956, 0.0042 
0.2318, 0.5561, 0.0012, 1.5992, 0.0034 
0.2348, 0.5508, 0.0011, 1.5846, 0.0031 
0.2349, 0.5502, 0.0011, 1.5830, 0.0031 
0.2372, 0.5476, 0.0012, 1.5761, 0.0036 
0.2390, 0.5459, 0.0011, 1.5716, 0.0031 
0.2403, 0.5436, 0.0015, 1.5650, 0.0043 
0.2403, 0.5435, 0.0015, 1.5648, 0.0044 
0.2427, 0.5416, 0.0012, 1.5599, 0.0035 
