q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0320, 0.9114, 0.0013, 2.5556, 0.0046 			      |	0.0320, 0.9077, 0.0013, 2.5452, 0.0046 
0.0322, 0.9117, 0.0014, 2.5566, 0.0049 			      |	0.0322, 0.9076, 0.0014, 2.5449, 0.0048 
0.0322, 0.9111, 0.0023, 2.5547, 0.0073 			      |	0.0322, 0.9071, 0.0022, 2.5435, 0.0072 
0.0329, 0.9062, 0.0013, 2.5412, 0.0047 			      |	0.0329, 0.9025, 0.0013, 2.5309, 0.0046 
0.0334, 0.9071, 0.0013, 2.5441, 0.0048 			      |	0.0334, 0.9030, 0.0013, 2.5324, 0.0047 
0.0338, 0.9046, 0.0014, 2.5372, 0.0049 			      |	0.0338, 0.9017, 0.0014, 2.5289, 0.0049 
0.0338, 0.9051, 0.0013, 2.5386, 0.0046 			      |	0.0338, 0.9015, 0.0013, 2.5283, 0.0045 
0.0340, 0.9072, 0.0016, 2.5444, 0.0054 			      |	0.0340, 0.9032, 0.0015, 2.5332, 0.0054 
0.0347, 0.9034, 0.0013, 2.5340, 0.0046 			      |	0.0347, 0.8997, 0.0012, 2.5237, 0.0045 
0.0348, 0.9046, 0.0013, 2.5374, 0.0047 			      |	0.0348, 0.9004, 0.0013, 2.5258, 0.0047 
0.0355, 0.9020, 0.0013, 2.5303, 0.0046 			      |	0.0355, 0.8983, 0.0013, 2.5200, 0.0046 
0.0357, 0.9010, 0.0020, 2.5277, 0.0066 			      |	0.0357, 0.8971, 0.0019, 2.5166, 0.0065 
0.0359, 0.9025, 0.0014, 2.5320, 0.0050 			      |	0.0359, 0.8996, 0.0014, 2.5237, 0.0050 
0.0362, 0.9009, 0.0014, 2.5275, 0.0050 			      |	0.0362, 0.8968, 0.0014, 2.5159, 0.0049 
0.0365, 0.8970, 0.0014, 2.5167, 0.0050 			      |	0.0365, 0.8934, 0.0014, 2.5065, 0.0050 
0.0374, 0.8962, 0.0013, 2.5147, 0.0048 			      |	0.0374, 0.8926, 0.0013, 2.5045, 0.0047 
0.0375, 0.8984, 0.0014, 2.5208, 0.0050 			      |	0.0375, 0.8942, 0.0014, 2.5092, 0.0050 
0.0376, 0.8976, 0.0026, 2.5188, 0.0084 			      |	0.0376, 0.8937, 0.0026, 2.5077, 0.0083 
0.0380, 0.8952, 0.0014, 2.5121, 0.0050 			      |	0.0380, 0.8923, 0.0014, 2.5039, 0.0049 
0.0389, 0.8936, 0.0013, 2.5080, 0.0049 			      |	0.0389, 0.8896, 0.0013, 2.4965, 0.0049 
0.0393, 0.8927, 0.0013, 2.5056, 0.0047 			      |	0.0393, 0.8891, 0.0012, 2.4954, 0.0046 
0.0394, 0.8923, 0.0014, 2.5044, 0.0051 			      |	0.0394, 0.8884, 0.0014, 2.4934, 0.0050 
0.0401, 0.8897, 0.0015, 2.4972, 0.0052 			      |	0.0401, 0.8868, 0.0015, 2.4890, 0.0052 
0.0402, 0.8918, 0.0013, 2.5031, 0.0047 			      |	0.0402, 0.8882, 0.0012, 2.4930, 0.0046 
0.0403, 0.8917, 0.0014, 2.5030, 0.0051 			      |	0.0403, 0.8876, 0.0014, 2.4916, 0.0050 
0.0411, 0.8869, 0.0012, 2.4899, 0.0046 			      |	0.0411, 0.8834, 0.0012, 2.4798, 0.0046 
0.0413, 0.8871, 0.0018, 2.4903, 0.0062 			      |	0.0413, 0.8832, 0.0018, 2.4794, 0.0061 
0.0418, 0.8874, 0.0013, 2.4913, 0.0050 			      |	0.0418, 0.8833, 0.0013, 2.4799, 0.0049 
0.0421, 0.8863, 0.0012, 2.4882, 0.0046 			      |	0.0421, 0.8827, 0.0012, 2.4782, 0.0046 
0.0421, 0.8861, 0.0015, 2.4878, 0.0052 			      |	0.0421, 0.8846, 0.0015, 2.4835, 0.0051 
0.0422, 0.8860, 0.0015, 2.4875, 0.0051 			      |	0.0422, 0.8831, 0.0014, 2.4793, 0.0050 
0.0430, 0.8828, 0.0012, 2.4788, 0.0046 			      |	0.0430, 0.8795, 0.0012, 2.4696, 0.0045 
0.0430, 0.8840, 0.0012, 2.4822, 0.0047 			      |	0.0430, 0.8804, 0.0012, 2.4722, 0.0046 
0.0432, 0.8836, 0.0014, 2.4812, 0.0051 			      |	0.0432, 0.8796, 0.0014, 2.4699, 0.0050 
0.0433, 0.8828, 0.0013, 2.4790, 0.0048 			      |	0.0433, 0.8789, 0.0013, 2.4681, 0.0048 
0.0433, 0.8797, 0.0019, 2.4701, 0.0065 			      |	0.0433, 0.8757, 0.0018, 2.4590, 0.0064 
0.0440, 0.8789, 0.0012, 2.4681, 0.0047 			      |	0.0440, 0.8753, 0.0012, 2.4581, 0.0047 
0.0442, 0.8783, 0.0015, 2.4665, 0.0052 			      |	0.0442, 0.8768, 0.0015, 2.4623, 0.0051 
0.0443, 0.8805, 0.0015, 2.4728, 0.0051 			      |	0.0443, 0.8776, 0.0014, 2.4647, 0.0051 
0.0447, 0.8798, 0.0013, 2.4708, 0.0049 			      |	0.0447, 0.8757, 0.0013, 2.4595, 0.0048 
